"","p_grid","prior","likelihood","unstand_post","post"
"52",0.51,1,0.173895595733987,0.173895595733987,0.017389558356999
"53",0.52,1,0.183663586172731,0.183663586172731,0.0183663573325463
"54",0.53,1,0.193298319101678,0.193298319101678,0.0193298305580461
"55",0.54,1,0.202728748816226,0.202728748816226,0.020272873463535
"56",0.55,1,0.211881463664062,0.211881463664062,0.0211881448842954
"57",0.56,1,0.220681271494312,0.220681271494312,0.0220681256057657
"58",0.57,1,0.229051841039804,0.229051841039804,0.0229051825017628
"59",0.58,1,0.236916396628789,0.236916396628789,0.0236916380056487
"60",0.59,1,0.244198462961994,0.244198462961994,0.0244198445880312
"61",0.6,1,0.250822656,0.250822656,0.0250822638454955
"62",0.61,1,0.256715515284493,0.256715515284493,0.0256715497327243
"63",0.62,1,0.261806372265081,0.261806372265081,0.0261806353951725
"64",0.63,1,0.266028248420968,0.266028248420968,0.0266028229812292
"65",0.64,1,0.269318776153964,0.269318776153964,0.0269318757315116
"66",0.65,1,0.271621134585937,0.271621134585937,0.0271621115586039
"67",0.66,1,0.272884991520024,0.272884991520024,0.027288497243172
"68",0.67,1,0.273067441920618,0.273067441920618,0.027306742281955
"69",0.68,1,0.272133932332351,0.272133932332351,0.0272133913296583
"70",0.69,1,0.27005915969307,0.27005915969307,0.0270059140802432
"71",0.7,1,0.266827932,0.266827932,0.0266827913335386
"72",0.71,1,0.262435977262139,0.262435977262139,0.0262435958904742
"73",0.72,1,0.256890686115152,0.256890686115152,0.0256890668145649
"74",0.73,1,0.250211772387896,0.250211772387896,0.0250211754885583
"75",0.74,1,0.242431834792003,0.242431834792003,0.0242431817833897
"76",0.75,1,0.233596801757813,0.233596801757813,0.0233596785417716
"77",0.76,1,0.223766240261308,0.223766240261308,0.022376622460886
"78",0.77,1,0.2130135082776,0.2130135082776,0.0213013493377306
"79",0.78,1,0.20142572925688,0.20142572925688,0.020142571516715
"80",0.79,1,0.189103565748718,0.189103565748718,0.0189103552520924
"81",0.8,1,0.176160768,0.176160768,0.0176160755677554
"82",0.81,1,0.162723472020747,0.162723472020747,0.016272346063824
"83",0.82,1,0.14892922025056,0.14892922025056,0.0148929209832962
"84",0.83,1,0.134925676566399,0.134925676566399,0.0134925667128348
"85",0.84,1,0.120869005949928,0.120869005949928,0.0120868997495141
"86",0.85,1,0.106921887679687,0.106921887679687,0.0106921880200502
"87",0.86,1,0.0932511294299075,0.0932511294299075,0.00932511229069911
"88",0.87,1,0.0800248481438088,0.0800248481438088,0.00800248425460708
"89",0.88,1,0.0674091820048712,0.0674091820048712,0.0067409177289599
"90",0.89,1,0.0555644962546036,0.0555644962546036,0.00555644923678671
"91",0.9,1,0.044641044,0.044641044,0.0044641040877359
"92",0.91,1,0.0347740415179827,0.0347740415179827,0.00347740390855385
"93",0.92,1,0.0260781158978027,0.0260781158978027,0.00260781140736386
"94",0.93,1,0.0186410811655326,0.0186410811655326,0.00186410798615889
"95",0.94,1,0.01251699730748,0.01251699730748,0.00125169964319161
"96",0.95,1,0.00771846485156247,0.00771846485156247,0.000771846431165586
"97",0.96,1,0.0042081058774057,0.0042081058774057,0.00042081055830487
"98",0.97,1,0.00188918050717897,0.00188918050717897,0.00018891803750308
"99",0.98,1,0.000595286079940609,0.000595286079940609,5.95286038300348e-05
"100",0.99,1,7.90843325496842e-05,7.90843325496842e-05,7.90843270177352e-06
"101",1,1,0,0,0
